code_new,metrics,definitions
qre17_01,Collection points for recycling per Capita,"[Collection points for recycling] divided by [Population, 2020]."
qre18,Carts for recycling,Total number of residential recycling carts serviced in the fiscal year. One collection point might have multiple carts.
qre18_01,Ratio of recycling carts to collection points,[Carts for recycling] divided by [Collection points for recycling].
qre19,Recycling setout rate,Average number of carts on curb at any one time in the fiscal year.
qre20,Recycling participation rate,Average number of households that participate in recycling at least once a month in the fiscal year.
qre21,Disposal cost for recycling,"Total tipping and hauling (if applicable) fee paid (NOT per ton) for recycling processing in the fiscal year. Enter ""0"" if contracted out."
qre21_01,Disposal cost for recycling per ton,[Disposal cost for recycling] divided by [Tons of curbside recycling collected].
qre22,Collection points receiving curbside recycling service,Total number of collection points receiving curbside recycling service by jurisdiction-provided and contracted recycling services in the fiscal year.
qre22_01,Collection points receiving curbside recycling service as a percentage of collection points,[Collection points receiving curbside recycling service] divided by [Collection points for recycling] and multiplied by 100.
qre23,Diversion rate,"Percentage of recycling diverted in the fiscal year. This is tons of material recycled (commingled + yard waste/compost) divided by the total tons of material collected, multiplied by a hundred."
qre24,Requests for residential recycling pickup outside normal routing schedule,Total number of times during the fiscal year that a truck was dispatched to pick up recycling at a missed collection point or to retrieve recycling upon request. Leave blank if figures not available from contractor.
qre24_01,Requests for residential recycling pickup outside of normal routing schedule per collection point,[Requests for residential recycling pickup outside normal routing schedule] divided by [Collection points for recycling].
qre25,Complaints for household recycling,"Total number of complaints received, regardless of validity, in the fiscal year."
qre25_01,Complaints for Household Recycling per collection point,[Complaints for household recycling] divided by [Collection points for recycling].
qre26,Percentage of recycling trucks 10 years or older,Percentage of all frontline and reserve recycling collection fleet trucks 10 years or older (based on manufacture date) in the fiscal year.
qre27,Staff injuries during recycling operation,"Total number of reported work-related injuries (minor and major) that occurred in recycling operations in the fiscal year, as reported to OSHA. Enter ""0"" if contracted out. If only a composite metric is available for solid waste, leave this metric blank and provide the composite number under the residential refuse section."
qre27_01,Staff injuries during recycling operation per FTE,[Staff injuries during recycling operation] divided by [Approved household recycling FTEs].
qre28,Approved household recycling FTEs,"Total approved household recycling full-time equivalent (FTE) positions, filled or unfilled, for the fiscal year. This includes approved, regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits). Enter ""0"" if contracted out."
qre28_01,Tons collected per Approved Household Recycling FTEs,[Approved household recycling FTEs] divided by [Approved household recycling FTEs].
qre28_02,Population served per Approved Household Recycling FTEs,[Personnel expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qre29,Personnel expenses for Household Recycling ,"Total amount of personnel expenses for household recycling in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qre30,Operational expenses for Household Recycling ,"Total amount of operational expenses for household recycling in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qre30_01,Personnel expenses as a percentage of total Household Recycling expenses,"[Total expenses for Household Recycling] divided by [Population, 2020] and multiplied by 100."
qre30_02,Expenses for Household Recycling per Capita,"[Total expenses for Household Recycling] divided by [Population, 2020]."
qre30_03,Total expenses for Household Recycling,[Personnel expenses for Household Recycling] + [Operational expenses for Household Recycling].
qrr01,Tons of residential refuse collected,"Total number of tons collected in the fiscal year from residences, small businesses, churches, and jurisdictional facilities. This does not include bulky items or white goods."
qrr01_01,Tons of residential refuse collected per capita,"[Total expenses for Household Recycling] divided by [Population, 2020]."
qrr01_02,Tons of residential refuse collected per FTE,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr01_03,Total expenses per ton of residential refuse collected,[Operational expenses for Residential Refuse Collection] divided by [Total expenses for Household Recycling].
qrr02,Tons of bulky items collected,"Total number of tons of bulky items (e.g., furniture, plumbing fixtures, etc.) collected in the fiscal year from residences, small businesses, churches, and jurisdiction facilities."
qrr02_01,Ratio of bulky items to refuse collected,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr03,Collection points for refuse collection,"Total number of active addresses serviced by residential refuse crews in the fiscal year, including single-family, multi-family, and central business districts with curbside rollout service."
qrr03_01,Collection points for refuse collection per capita,"[Total expenses for Household Recycling] divided by [Population, 2020]."
qrr04,Residential refuse routes,"Total number of residential refuse routes, both jurisdiction-run and contracted, per week. Each route is counted each time it runs; the same route collected multiple times a week is counted as multiple routes. Leave blank if data is not available."
qrr05,Route mileage for residential refuse collection,Total aggregate of miles for all routes in the fiscal year. These are miles assigned or driven from a routing station to provide collection service.
qrr05_01,Route mileage for residential refuse collection per route,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr06,Requests for residential refuse pickup outside of normal routing schedule,Total number of times during the year that a truck was dispatched to pick up trash at a missed collection point or to retrieve refuse upon request. This does not include special collections or on-call services such as bulky items and scrap metal.
qrr06_01,Requests for residential refuse pickup outside of normal routing schedule per collection point,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr07,Complaints for residential refuse collection,"Total number of complaints received for residential refuse collection (not including bulk collection), regardless of validity, in the fiscal year."
qrr07_01,Complaints for residential refuse collection per collection point,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr08,Total solid waste revenue,"Total revenue from solid waste fees (includes residential refuse, recycling, and yard waste) in the fiscal year."
qrr08_01,Total solid waste revenue as a percentage of total solid waste expenses,[Total expenses for Household Recycling] divided by [Total solid waste expenses] and multiplied by 100.
qrr09,Disposal cost for residential refuse,"Total tipping and landfill (include hauling, if applicable) fees paid (NOT per ton) for residential refuse processing in the fiscal year. Enter ""0"" if services contracted out."
qrr10,Percentage of refuse trucks 10 years or older,Percentage of all frontline and reserve refuse collection fleet apparatuses 10 years or older (based on manufacture date) in the fiscal year.
qrr11,Staff injuries during residential refuse collection operation,"Total number of reported work-related injuries (minor and major) in residential refuse operations in the fiscal year, as reported to OSHA. Leave blank if contracted out. If only a composite metric is available for solid waste, leave this metric blank and provide the composite number under the residential refuse section."
qrr11_01,Staff injuries during residential refuse collection operation per FTE,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr12,Approved residential refuse collection FTEs,"Total residential refuse collection full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits). This includes crew member, supervisory, and administrative positions."
qrr12_01,Population served per refuse collection FTEs,[Total expenses for Household Recycling] divided by [Total expenses for Household Recycling].
qrr13,Personnel expenses for Residential Refuse Collection ,"Total amount of personnel expenses for residential refuse collection in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qrr14,Operational expenses for Residential Refuse Collection ,"Total amount of operational expenses for residential refuse collection in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
qrr14_01,Personnel expenses as a percentage of total residential refuse expenses,[Personnel expenses for Residential Refuse Collection] divided by [Operational expenses for Residential Refuse Collection] and multiplied by 100.
qrr14_02,Expenses for residential refuse per capita,"[Operational expenses for Residential Refuse Collection] divided by [Population, 2020]."
qrr14_03,Total expenses for residential refuse,[Personnel expenses for Residential Refuse Collection] + [Operational expenses for Residential Refuse Collection].
qws01,Surface water sourced,"Total amount of water, in millions of gallons per day (MGD), sourced or withdrawn from a surface source (e.g., river, reservoir, intake) in the fiscal year. Enter ""0"" if no water is sourced from surface sources.
."
qws02,Surface water purchased,"Total amount of water sourced from a surface source (e.g., river, reservoir, intake), in millions of gallons per day (MGD), purchased by the system in the fiscal year. Enter ""0"" if no water is sourced from surface sources.
."
qws03,Groundwater under direct influence (GU) sourced,"Total amount of water, in millions of gallons per day (MGD), sourced or withdrawn from groundwater under direct influence (GU) sources that provide water under the direct influence of surface water (e.g., unprotected wells or springs) in the fiscal year. Enter ""0"" if no water is sourced from the GU sources."
qws04,Groundwater under direct influence (GU) purchased,"Total amount of water sourced from groundwater under direct influence (GU) sources, in millions of gallons per day (MGD), purchased by the system in the fiscal year. Enter ""0"" if no water is sourced from the GU sources."
qws05,Groundwater (GW) sourced,"Total amount of water, in millions of gallons per day (MGD), sourced or withdrawn from groundwater (GW) sources not under the direct influence of surface water (e.g., protected wells). Enter ""0"" if no water is sourced from the GW sources."
qws05_01,Raw water sourced,[Surface water sourced] + [Groundwater Under Direct Influence (GU) sourced] + [Groundwater (GW) sourced].
qws06,Groundwater (GW) purchased,"Total amount of water sourced from groundwater (GW) sources, in millions of gallons per day (MGD), purchased by the system in the fiscal year. Enter ""0"" if no water is sourced from the GW sources."
qws07,Raw water purchased ,"Total amount of raw (untreated) water, in millions of gallons per day (MGD), purchased from other sources in the fiscal year. Enter ""0"" if no raw water is purchased from outside sources."
qws07_01,Total raw water entering the system,[Surface water sourced] + [Groundwater Under Direct Influence (GU) sourced] + [Groundwater (GW) sourced] + [Raw water purchased].
qws07_02,Percentage of raw water purchased,[Raw water purchased] divided by [Total raw water entering the system] and multiplied by 100.
qws08,Finished water treated,"Total amount of finished water produced, in millions of gallons per day (MGD), at treatment plants in the fiscal year."
qws09,Finished water purchased ,"Total amount of finished water, in millions of gallons per day (MGD), purchased from other sources in the fiscal year. Enter ""0"" if no finished water is purchased from outside sources."
qws09_01,Total finished water,[Finished water treated] + [Finished water purchased].
qws09_02,Total finished water per meter,[Total finished water] divided by [Total meters].
qws09_03,Total finished water per water operations FTE,[Finished water purchased] divided by [Approved operations FTEs].
qws09_04,Total expenses per MGD of finished water,[Total water services expenses] divided by [Finished water treated].
qws10,Finished water sold,"Total amount of finished water, in millions of gallons per day (MGD), sold to other entities (such as municipalities, counties, or units outside the jurisdiction) in the fiscal year. Enter ""0"" if no finished water is sold to other entities."
qws10_01,Percentage of finished water sold,[Finished water sold] divided by [Finished water treated] and multiplied by 100.
qws11,Non-potable recycled water produced,"Total amount of recycled or reused water, in millions of gallons per day (MGD), produced in the fiscal year. This water is typically used for landscaping, industrial use, cooling towers, aquifer recharge, etc. Enter ""0"" if no water is recycled or reused."
qws11_01,Non-potable recycled water produced as a percentage of total finished water,[Non-potable recycled water produced] divided by [Finished water treated] and multiplied by 100.
qws12,Non-potable recycled water purchased,"Total amount of recycled or reused water purchased from external sources, in millions of gallons per day (MGD), in the fiscal year. This water is typically used for landscaping, industrial use, cooling towers, aquifer recharge, etc. Enter ""0"" if no water is recycled or reused."
qws12_01,Total non-potable recycled or reused water,[Non-potable recycled water produced] + [Purchased non-potable recycled or reused water].
qws12_02,Percentage of non-potable recycled water purchased,[Non-potable recycled water purchased] divided by [Total non-potable recycled or reused water] and multiplied by 100.
qws13,Water desalinated,"Total amount of water desalinated, in millions of gallons per day (MGD). Enter ""0"" if no water is desalinated."
qws13_01,Water desalinated as a percentage of total finished water,[Water desalinated] divided by [Total finished water] and multiplied by 100.
qws14,Billed water,"Total amount of water billed (or consumed), in millions of gallons per day (MGD), in the fiscal year."
qws14_01,Billed water as a percentage of total finished water,[Billed water] divided by [Total finished water] and multiplied by 100.
qws14_02,MGD of water billed per distribution system FTE,[Billed water] divided by [Approved distribution FTEs].
qws15,Treatment capacity,"Total permitted water treatment capacity, in millions of gallons per day (MGD), in the fiscal year."
qws15_01,Finished water treated as a percentage of treatment capacity,[Total finished water] divided by [Treatment capacity] and multiplied by 100.
qws16,Pump stations for untreated water,Total number of water pump stations that pump raw untreated water to treatment plant.
qws16_01,Total raw water sourced per pump station for untreated water,[Total raw water entering the system] divided by [Pump stations for untreated water].
qws17,Pump stations for treated water,Total number of water pump stations (also called booster stations) used to pump treated water throughout the distribution system.
qws17_01,MGD of water treated per pump station,[Total finished water] divided by [Pump stations for treated water].
qws18,Filtration plants,Total number of water filtration plants.
qws18_01,MGD of water treated per filtration plant,[Total finished water] divided by [Filtration plants].
qws19,Electricity use in water system,Total kWh electricity usage only in water treatment/distribution facilities in the fiscal year.
qws19_01,Electricity used per MGD of water treated,[Electricity use in water system] divided by [Total finished water].
qws20,Maximum THM (LRAA),"Locational running annual average (LRAA) maximum trihalomethanes (THM) parts per billion (ppb, also called ug/L) detected in finished water in the fiscal year."
qws21,Average turbidity,Average nephelometric turbidity units (NTU) for finished water at the treatment plant in the fiscal year.
qws22,Maximum turbidity,Maximum nephelometric turbidity units (NTU) for finished water at the treatment plant in the fiscal year.
qws23,Maximum chlorine concentration,Maximum parts per million (ppm) of chlorine concentration detected in finished water in the fiscal year.
qws24,Maximum fluoride concentration,Maximum parts per million (ppm) of fluoride concentration detected in finished water in the fiscal year.
qws25,Maximum iron concentration,Maximum parts per million (ppm) of iron concentration detected in finished water in the fiscal year.
qws26,Maximum pH,Maximum pH detected in finished water in the fiscal year.
qws27,Maximum hardness,Maximum grains per gallon of hardness detected in finished water in the fiscal year.
qws28,Maximum PFOA levels ,Maximum parts per trillion (ppt) of perfluorooctanoic acid (PFOA) levels detected in finished water in the fiscal year.
qws29,Maximum PFOS levels ,Maximum parts per trillion (ppt) of perfluorooctane sulfonic acid (PFOS) levels detected in finished water in the fiscal year.
qws30,Hazard Index,"Hazard index of  perfluorononanoic acid (PFNA), perfluorohexane sulfonic acid (PFHxS), perfluorobutane sulfonic acid (PFBS), and  hexafluoropropylene oxide dimer acid (HFPO-DA, commonly known as GenX Chemicals) in finished water in the fiscal year. See chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.epa.gov/system/files/documents/2023-03/How%20do%20I%20calculate%20the%20Hazard%20Index._3.14.23.pdf."
qws31,Regulatory violations ,Total number of violations of state or federal drinking-water or treatment regulations in the fiscal year.
qws31_01,Regulatory violations incurred per MGD of water treated,[Regulatory violations] divided by [Total finished water].
qws32,Miles of pipe,Total miles of water main lines in the water system at the end of the fiscal year.
qws32_01,Miles of pipe per meter,[Miles of pipe] divided by [Total meters].
qws33,Water main breaks,"Total number of breaks and leaks in the water main line in the fiscal year, including all all main, service, and meter incidents in which crews were dispatched to make repairs."
qws33_01,Water main breaks per mile of pipe,[Water main breaks] divided by [Miles of pipe].
qws34,Residential meters,"Total number of residential meters, using a best estimate."
qws35,Other meters,"Total number of non-residential meters, such as commercial, institutional, and industrial meters, using a best estimate."
qws35_01,Total meters,[Residential meters] + [Other meters].
qws36,Work orders processed,"Total number of work orders in the water distribution system (including work orders for main line, service line , and meter leaks) in the fiscal year in which crews were dispatched to make repairs."
qws36_01,Work orders processed per distribution system FTE,[Work orders processed] divided by [Approved distribution FTEs].
qws37,Approved operations FTEs,"Total number of operations and maintenance (filtration and pump station) full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qws38,Approved engineering FTEs,"Total number of full-time equivalent (FTE) positions, filled or unfilled, in engineering in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qws39,Approved distribution FTEs,"Total number of distribution system full-time equivalent (FTEs) positions, filled or unfilled, in the fiscal year. This includes  regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qws40,Approved administration FTEs,"Total number of administration full-time equivalent (FTE) positions, filled or unfilled, in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qws40_01,Administration FTEs as a percentage of total water services FTEs,[Approved administration FTEs] divided by [Approved water services FTEs] and multiplied by 100.
qws41,Approved water services FTEs,"Total number of water service (including administrative) full-time equivalent (FTE) position, filled or unfilled, for the fiscal year. This includes approved, regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits). If a precise breakdown is not available, FTEs supporting both water and sewer services should be counted as 0.5 for each service."
qws42,Budgeted water system revenue,Estimated revenue from water utility for the fiscal year.
qws43,Actual water system revenue,Total revenue generated from water user fees in the fiscal year.
qws43_01,Actual revenue as a percentage of budgeted revenue,[Actual water system revenue] divided by [Budgeted water system revenue] and multiplied by 100.
qws44,CIP budget,Total amount budgeted for 5-year Capital Improvement Plan (CIP) for water utility.
qws44_01,CIP budget per meter,[CIP budget] divided by [Total meters].
qws45,Personnel expenses for water services,"Total amount of personnel expenses for water services in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits. If a precise breakdown is not available, personnel expenses in the service areas supporting both water and sewer services may be counted as equally divided between the two services."
qws46,Operational expenses for water services,"Total amount of operational expenses for water services in the fiscal year. This amount includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses. If a precise breakdown is not available, operating expenses in the service areas supporting both water and sewer services may be counted as equally divided between the two services."
qws46_01,Total water services expenses,[Personnel expenses for Water Services] + [Operational expenses for Water Services].
qws46_02,Personnel expenses as a percentage of total water services expenses,[Personnel expenses for water services] divided by [Total water services expenses] and multiplied by 100.
qws46_03,Water services expenses per meter,[Total water services expenses] divided by [Total meters].
qww01,Residential customer accounts,Total number of unique residential customer accounts.
qww02,Other accounts,"Total number of unique non-residential customer accounts, including commercial, industrial, and wholesale accounts."
qww02_01,Total accounts,[Residential customer accounts] + [Other accounts].
qww02_02,Total accounts per wastewater collections FTE,[Total accounts] divided by [Approved wastewater collections FTEs].
qww03,Treatment capacity,Total treatment capacity for wastewater in millions of gallons per day (MGD).
qww03_01,Treatment capacity per account,[Treatment capacity] divided by [Total accounts].
qww04,Treated wastewater discharged,Total volume of discharged wastewater from system treatment plants (including wastewater received from other jurisdictions) in millions of gallons per day (MGD).
qww04_01,Wastewater treated as a percentage of treatment capacity,[Treated wastewater discharged] divided by [Treatment capacity] and multiplied by 100.
qww04_02,Wastewater treated per wastewater operations FTE,[Treated wastewater discharged] divided by [Approved wastewater operation FTEs].
qww05,Wastewater billed,Total volume of wastewater billed in millions of gallons per day (MGD).
qww05_01,Wastewater billed per account,[Wastewater billed] divided by [Total accounts].
qww05_02,Wastewater billed as a percentage of wastewater treated,[Wastewater billed] divided by [Treated wastewater discharged] and multiplied by 100.
qww06,Volume of treatment outsourced,Total volume of wastewater sent for treatment to external treatment systems in millions of gallons per day (MGD).
qww06_01,Volume of treatment outsourced as a percentage of wastewater billed,[Volume of treatment outsourced] divided by [Wastewater billed] and multiplied by 100.
qww07,Treatment facilities,Total number of wastewater treatment facilities.
qww07_01,Treatment facilities per MGD of wastewater treated,[Treatment facilities] divided by [Treated wastewater discharged].
qww08,Pump stations for wastewater,Total number of wastewater pump stations.
qww08_01,Pump stations for wastewater per MGD of wastewater treated,[Pump stations for wastewater] divided by [Treated wastewater discharged].
qww09,Miles of gravity sewer main line,Total number of sewer-line miles functioning on gravity in the fiscal year.
qww10,Miles of forced sewer main line,Total number of sewer-line miles functioning with mechanical equipment in the fiscal year.
qww10_01,Total miles of sewer main line,[Miles of gravity sewer main line] + [Miles of forced sewer main line].
qww10_02,Ratio of forced to sewer main line,[Miles of forced sewer main line] divided by [Miles of gravity sewer main line].
qww11,Dry weight of biosolids produced,Dry weight of biosolids produced in tons as a result of treatment in the fiscal year.
qww12,Dry weight of biosolids reused,"Dry weight of biosolids reused in tons in the fiscal year. Reuse includes composting, pellets, land application, and other methods. It does not include incineration or landfill."
qww12_01,Percentage of biosolids reused,[Dry weight of biosolids reused] divided by [Dry weight of biosolids produced] and multiplied by 100.
qww13,Percentage of BOD removed,Percentage of biological oxygen demand (BOD) removed from wastewater in the fiscal year.
qww14,Percentage of TSS removed,Percentage of total suspended solids (TSS) removed from wastewater in the fiscal year.
qww15,Sewer overflow volume,"Total annual volume of sewer overflow in gallons in the fiscal year, as reported for the Annual Sewage Collection and Wastewater Plant Report."
qww15_01,Sewer overflow volume per MGD of wastewater treated,[Sewer overflow volume] divided by [Treated wastewater discharged] and multiplied by 100.
qww16,Volume of wastewater bypassed,Total gallons of sanitary sewer overflows (SSO) of partially treated wastewater intentionally diverted from any portion of the treatment facility in the fiscal year. Examples of a bypass include diverting the flow of wastewater around a clarifier or dechlorination system.
qww16_01,Volume of wastewater bypassed per MGD of wastewater treated,[Volume of wastewater bypassed] divided by [Treated wastewater discharged].
qww17,Maximum total nitrogen,"Maximum level of total nitrogen concentration in mg/L detected in the fiscal year. Total nitrogen is the sum of kjedahl nitrogen (organic and reduced), ammonia, and nitrate-nitrite."
qww18,Maximum total phosphate,"Maximum level of total phosphate concentration in mg/L detected in the fiscal year. Total phosphate is the sum of orthophosphate, dissolved phosphate, insoluble phosphate, condensed phosphate, and organic phosphate."
qww19,Sanitary sewer overflows (SSO),Total number of spills or discharges (known as sanitary sewer overflows or SSOs) escaping from the sanitary sewer system to the external environment in the fiscal year.
qww19_01,SSO per mile of sewer main line,[Sanitary sewer overflows (SSO)] divided by [Total miles of sewer main line].
qww20,Average response time to SSO,Average response time in minutes from first knowledge to repairing or mitigating an SSO.
qww21,Combined sewer overflows (CSO),Total number of spills or discharges escaping from the stormwater and sewer system to the external environment in the fiscal year. Leave blank if not applicable.
qww21_01,CSO per mile of sewer main line,[Combined sewer overflows (CSO)] divided by [Total miles of sewer main line].
qww22,Average response time to CSO,Average response time in minutes from first knowledge to repairing or mitigating an CSO. Leave blank if not applicable.
qww23,Regulatory violations for the treatment system,Total number of violations of state or federal regulations for only the wastewater treatment portion of the system in the fiscal year.
qww23_01,Regulatory violations for the treatment system per MGD of wastewater treated,[Regulatory violations for the treatment system] divided by [Treated wastewater discharged].
qww24,Regulatory violations for the collection system,Total number of violations of state or federal regulations for only the wastewater collection portion of the system in the fiscal year.
qww24_01,Regulatory violations for the collection system per account,[Regulatory violations for the collection system] divided by [Total accounts].
qww25,Flow violations,Total number of flow violations in the wastewater system in the fiscal year.
qww25_01,Flow violations per MGD of wastewater treated,[Flow violations] divided by [Treated wastewater discharged].
qww26,Limit violations,Total number of limit violations in the wastewater system in the fiscal year.
qww26_01,Limit violations per MGD of wastewater treated,[Limit violations] divided by [Treated wastewater discharged].
qww27,Footage of wastewater pipelines rehabilitated,Total footage of wastewater pipelines rehabilitated in the fiscal year.
qww27_01,Footage of wastewater pipelines rehabilitated per mile of main sewer line,[Footage of wastewater pipelines rehabilitated] divided by [Total miles of sewer main line].
qww28,Footage of wastewater pipelines replaced,Total footage of wastewater pipelines replaced in the fiscal year.
qww28_01,Footage of wastewater pipelines replaced per mile of main sewer line,[Footage of wastewater pipelines replaced] divided by [Total miles of sewer main line].
qww29,Wastewater pipeline rehabilitation and replacement expenses,Total expenses incurred on pipeline rehabilitation and replacement in the fiscal year.
qww29_01,Expenses incurred for wastewater pipeline rehabilitation and replacement as a percentage of total expenses,[Wastewater pipeline rehabilitation and replacement expenses] divided by [Total expenses for wastewater services] and multiplied by 100.
qww30,Non-potable reuse,"Total volume of wastewater treated for reuse for non-potable purposes in millions of gallons per day (MGD). This may include treated wastewater used for landscaping, industrial use, cooling towers, etc. Enter ""0"" if no wastewater is processed for non-potable use."
qww30_01,Non-potable reuse per MGD of wastewater treated,[Non-potable reuse] divided by [Treated wastewater discharged].
qww31,Indirect potable reuse,"Total volume of wastewater treated and discharged, in millions of gallons per day (MGD), into an environmental buffer, such as a lake, river, or a groundwater aquifer, before the water is treated at a drinking water treatment plant. Enter ""0"" if no wastewater is processed for non-potable use. (See https://www.epa.gov/ground-water-and-drinking-water/potable-water-reuse-and-drinking-water)."
qww31_01,Indirect potable reuse per MGD of wastewater treated,[Indirect potable reuse] divided by [Treated wastewater discharged].
qww32,Electricity used in wastewater system,Total kilowatt-hours (kWh) of electricity usage in the fiscal year for collection system pump stations and treatment plants.
qww32_01,Electricity used in wastewater system per MGD of wastewater treated,[Electricity used in wastewater system] divided by [Treated wastewater discharged].
qww33,Wastewater system complaints,Total number of complaints from wastewater customers requiring staff dispatch in the fiscal year.
qww33_01,Wastewater system complaints per account,[Wastewater system complaints] divided by [Total miles of sewer main line].
qww34,Approved wastewater collections FTEs,"Total number of full-time equivalent (FTE) positions, filled or unfilled, in wastewater collections in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qww35,Approved engineering FTEs,"Total number of full-time equivalent (FTE) positions, filled or unfilled, in wastewater engineering for the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qww36,Approved wastewater operation FTEs,"Total number of full-time equivalent (FTE) positions, filled or unfilled, in wastewater operations (including pump station mechanics and plant staff) in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qww37,Approved wastewater administration FTEs,"Total number of administration full-time equivalent (FTE) positions, filled or unfilled, in wastewater collections in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qww37_01,Administration FTEs as a percentage of total wastewater services FTEs,[Approved wastewater administration FTEs] divided by [Approved wastewater services FTEs] and multiplied by 100.
qww38,Approved wastewater services FTEs,"Total number of full-time equivalent (FTE) positions, filled or unfilled, in wastewater services in the fiscal year. This includes regularly scheduled full-time and regular part-time positions eligible for full benefits (but does not include seasonal or part-time positions not eligible for full benefits)."
qww39,CIP budget,Total amount budgeted for 5-year capital improvement plan (CIP) for wastewater utility.
qww39_01,CIP budget per account,[CIP budget] divided by [Total miles of sewer main line].
qww40,Budgeted wastewater system revenue,Estimated revenue from wastewater (sewer) utility for the fiscal year.
qww41,Actual wastewater system revenue,Total revenue generated from wastewater user fees in the fiscal year.
qww41_01,Actual revenue as a percentage of budgeted wastewater system revenue,[Actual wastewater system revenue] divided by [Budgeted wastewater system revenue] and multiplied by 100.
qww41_02,Total wastewater system revenue as a percentage of total expenses,[Actual wastewater system revenue] divided by [Total expenses for wastewater services] and multiplied by 100.
qww42,Personnel expenses for wastewater services,"Total amount of personnel expenses for wastewater services in the fiscal year. This includes gross earnings (all salaries and wages) of permanent and temporary employees subject to the Federal Insurance Contributions Act (FICA), the unit’s share of all overtime and holiday pay, longevity pay, allowances, supplemental retirement income, Social Security taxes, retirement contributions, hospital and medical insurance, disability insurance, unemployment compensation, workers’ compensation contributions, deferred compensation, and other benefits."
qww43,Operational expenses for wastewater services,"Total amount of operational expenses for wastewater services in the fiscal year. This includes non-capital outlay for equipment, tools, and software; expenses related to property or materials purchased for resale or the cost of goods sold; fees for training, travel, property maintenance, repairs, licenses, advertising, purchases, rentals, memberships, dues, utilities, data management/processing, MIS and GIS technologies, contracted services, contract administration, fuel, fleet maintenance, special programs, and sublet work; and all other operating expenses."
